Name,Author,User. Rating,User. Reviews,Info. Year,Info. Genre,Price
Cutting for Stone,Abraham Verghese,4.6,4866,2010,Fiction,11
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,2013,Non Fiction,10
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,2013,Non Fiction,13
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,2009,Fiction,4
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,2010,Fiction,8
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,2011,Fiction,4
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,2015,Fiction,5
Decision Points,George W. Bush,4.6,2137,2010,Non Fiction,17
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,2010,Non Fiction,15
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,2013,Non Fiction,105
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,2013,Fiction,0
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,2009,Fiction,15
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,2014,Fiction,22
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,2019,Non Fiction,5
Divergent,Veronica Roth,4.6,27098,2013,Fiction,15
Divergent / Insurgent,Veronica Roth,4.5,17684,2014,Fiction,6
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,2009,Non Fiction,6
Doctor Sleep: A Novel,Stephen King,4.7,15845,2013,Fiction,13
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,2009,Fiction,12
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,2018,Fiction,6
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,2017,Fiction,8
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,2018,Fiction,4
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,2019,Fiction,8
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,2019,Fiction,8
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,2018,Fiction,6
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,2016,Fiction,20
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,2015,Non Fiction,5
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,2010,Non Fiction,16
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,2009,Non Fiction,1
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,2009,Non Fiction,14
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,2011,Non Fiction,9
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,2009,Fiction,7
Eclipse (Twilight),Stephenie Meyer,4.7,5505,2009,Fiction,18
Educated: A Memoir,Tara Westover,4.7,28729,2018,Non Fiction,15
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413,2015,Non Fiction,9
Fahrenheit 451,Ray Bradbury,4.6,10721,2016,Fiction,8
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,2016,Fiction,15
Fear: Trump in the White House,Bob Woodward,4.4,6042,2018,Non Fiction,2
Fifty Shades Darker,E L James,4.4,23631,2012,Fiction,7
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,2012,Fiction,11
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,2012,Fiction,14
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,2012,Fiction,32
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,2018,Non Fiction,6
First 100 Words,Roger Priddy,4.7,17323,2014,Non Fiction,4
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,2010,Non Fiction,9
Frozen (Little Golden Book),RH Disney,4.7,3642,2014,Fiction,0
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,2010,Non Fiction,9
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,2011,Fiction,5
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,2010,Non Fiction,20
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,2013,Non Fiction,16
Giraffes Can't Dance,Giles Andreae,4.8,14038,2015,Fiction,4
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,2019,Non Fiction,12
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,2018,Non Fiction,12
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,2009,Non Fiction,11
Go Set a Watchman: A Novel,Harper Lee,3.6,14982,2015,Fiction,19
Go the F**k to Sleep,Adam Mansbach,4.8,9568,2011,Fiction,9
Going Rogue: An American Life,Sarah Palin,4.6,1636,2009,Non Fiction,6
Gone Girl,Gillian Flynn,4,57271,2012,Fiction,10
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,2019,Non Fiction,6
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,2009,Non Fiction,14
Goodnight Moon,Margaret Wise Brown,4.8,8837,2017,Fiction,5
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,2012,Fiction,7
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,2014,Non Fiction,10
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,2015,Fiction,14
Guts,Raina Telgemeier,4.8,5476,2019,Non Fiction,7
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,2016,Non Fiction,54
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,2013,Non Fiction,11
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,2016,Fiction,30
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4,23973,2016,Fiction,12
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,2019,Fiction,18
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,2017,Fiction,30
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,2016,Fiction,22
Harry Potter Coloring Book,Scholastic,4.7,3564,2015,Non Fiction,9
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,2016,Fiction,52
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,2009,Non Fiction,4
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,2011,Non Fiction,10
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,2016,Non Fiction,14
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776,2018,Non Fiction,22
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,2014,Non Fiction,11
Howard Stern Comes Again,Howard Stern,4.3,5272,2019,Non Fiction,16
Humans of New York,Brandon Stanton,4.8,3490,2013,Non Fiction,15
Humans of New York : Stories,Brandon Stanton,4.9,2812,2015,Non Fiction,17
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,2013,Non Fiction,17
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,2019,Non Fiction,7
"I, Alex Cross",James Patterson,4.6,1320,2009,Fiction,7
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,2017,Fiction,4
If I Stay,Gayle Forman,4.3,7153,2014,Fiction,9
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,2011,Non Fiction,21
Inferno,Dan Brown,4.1,29651,2013,Fiction,14
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,2011,Fiction,20
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,2019,Non Fiction,13
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062,2019,Non Fiction,12
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,2011,Non Fiction,8
JOURNEY TO THE ICE P,RH Disney,4.6,978,2014,Fiction,0
Joyland (Hard Case Crime),Stephen King,4.5,4748,2013,Fiction,12
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,2017,Non Fiction,17
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,2013,Non Fiction,12
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,2012,Non Fiction,25
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,2011,Non Fiction,10
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,2014,Non Fiction,6
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235,2015,Non Fiction,5
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,8916,2016,Non Fiction,6
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,2018,Non Fiction,8
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,2013,Non Fiction,4
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,11881,2018,Fiction,13
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,2013,Non Fiction,4
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,2013,Non Fiction,13
Leonardo da Vinci,Walter Isaacson,4.5,3014,2017,Non Fiction,21
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,2018,Non Fiction,6
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,2009,Non Fiction,15
Life,Keith Richards,4.5,2752,2010,Non Fiction,18
Little Bee: A Novel,Chris Cleave,4.1,1467,2010,Fiction,10
Little Blue Truck,Alice Schertle,4.9,1884,2014,Fiction,0
Little Fires Everywhere,Celeste Ng,4.5,25706,2018,Fiction,12
Looking for Alaska,John Green,4.5,8491,2014,Fiction,7
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,2011,Non Fiction,13
Love You Forever,Robert Munsch,4.8,18613,2014,Fiction,5
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,9867,2018,Non Fiction,16
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,2014,Non Fiction,20
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199,2017,Non Fiction,11
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,2009,Non Fiction,27
Milk and Honey,Rupi Kaur,4.7,17739,2016,Non Fiction,8
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,2017,Non Fiction,6
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,2014,Non Fiction,10
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,2010,Fiction,8
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347,2019,Non Fiction,16
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866,2019,Non Fiction,11
New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,2009,Fiction,10
Night (Night),Elie Wiesel,4.7,5178,2016,Non Fiction,9
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,2012,Non Fiction,14
Obama: An Intimate Portrait,Pete Souza,4.9,3192,2017,Non Fiction,22
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,2012,Fiction,8
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,2015,Fiction,7
Olive Kitteridge,Elizabeth Strout,4.2,4519,2009,Fiction,12
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,2011,Non Fiction,13
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1831,2017,Non Fiction,9
Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904,2017,Fiction,13
Orphan Train,Christina Baker Kline,4.6,21930,2014,Fiction,11
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,2009,Non Fiction,20
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,2018,Non Fiction,5
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,2010,Fiction,2
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,2017,Fiction,27
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,3503,2016,Fiction,9
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,2012,Non Fiction,10
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,2009,Non Fiction,46
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,4757,2017,Fiction,4
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,2012,Non Fiction,20
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985,2010,Non Fiction,9
Ready Player One: A Novel,Ernest Cline,4.6,22536,2017,Fiction,12
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,7150,2013,Fiction,12
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,3836,2014,Fiction,12
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,7802,2018,Non Fiction,20
Sarah's Key,Tatiana de Rosnay,4.6,3619,2010,Fiction,10
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,23047,2018,Non Fiction,6
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,4.7,9366,2015,Non Fiction,9
Sh*t My Dad Says,Justin Halpern,4.7,1265,2010,Non Fiction,11
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,4.8,3923,2018,Non Fiction,16
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,2272,2013,Non Fiction,6
Sookie Stackhouse,Charlaine Harris,4.7,973,2009,Fiction,25
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,4.6,220,2013,Non Fiction,17
Steve Jobs,Walter Isaacson,4.6,7827,2011,Non Fiction,20
Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,9382,2019,Fiction,6
StrengthsFinder 2.0,Gallup,4,5069,2009,Non Fiction,17
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,1583,2009,Non Fiction,18
Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,1907,2010,Non Fiction,13
Sycamore Row (Jake Brigance),John Grisham,4.5,23114,2013,Fiction,18
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,2010,Non Fiction,20
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,2314,2011,Non Fiction,22
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,4587,2011,Non Fiction,21
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,2010,Non Fiction,28
The 5000 Year Leap,W. Cleon Skousen,4.8,1680,2009,Non Fiction,12
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,2009,Non Fiction,24
The Alchemist,Paulo Coelho,4.7,35799,2014,Fiction,39
The Amateur,Edward Klein,4.6,2580,2012,Non Fiction,9
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,2010,Fiction,10
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,3536,2010,Non Fiction,17
The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,4.8,6600,2014,Fiction,11
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,1789,2012,Non Fiction,14
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,12361,2019,Non Fiction,12
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,858,2009,Non Fiction,53
The Book Thief,Markus Zusak,4.6,23148,2013,Fiction,6
The Book with No Pictures,B. J. Novak,4.8,8081,2014,Fiction,8
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,23358,2014,Non Fiction,12
The Casual Vacancy,J.K. Rowling,3.3,9372,2012,Fiction,12
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,4633,2011,Non Fiction,21
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,13061,2018,Non Fiction,6
The Confession: A Novel,John Grisham,4.3,3523,2010,Fiction,13
The Constitution of the United States,Delegates of the Constitutional,4.8,2774,2016,Non Fiction,0
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,440,2010,Non Fiction,11
The Day the Crayons Quit,Drew Daywalt,4.8,8922,2013,Fiction,9
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,2023,2011,Non Fiction,15
The Elegance of the Hedgehog,Muriel Barbery,4,1859,2009,Fiction,11
The Fault in Our Stars,John Green,4.7,50482,2012,Fiction,13
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,2009,Non Fiction,6
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,803,2009,Non Fiction,9
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,2013,Non Fiction,6
The Getaway,Jeff Kinney,4.8,5836,2017,Fiction,0
The Girl on the Train,Paula Hawkins,4.1,79446,2015,Fiction,18
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,2010,Fiction,14
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,7251,2010,Fiction,9
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,7251,2009,Fiction,16
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2009,Fiction,2
The Going-To-Bed Book,Sandra Boynton,4.8,5249,2016,Fiction,5
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,2013,Fiction,20
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,2012,Fiction,7
The Guardians: A Novel,John Grisham,4.5,13609,2019,Fiction,14
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,8587,2009,Fiction,10
The Handmaid's Tale,Margaret Atwood,4.3,29442,2017,Fiction,7
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,11098,2012,Fiction,13
The Hate U Give,Angie Thomas,4.8,9947,2018,Fiction,11
The Help,Kathryn Stockett,4.8,13871,2009,Fiction,6
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,6982,2013,Fiction,14
The Hunger Games,Suzanne Collins,4.7,32122,2010,Fiction,14
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,2011,Fiction,8
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,2011,Fiction,30
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,2010,Non Fiction,13
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,7368,2017,Non Fiction,7
The Last Lecture,Randy Pausch,4.7,4028,2009,Non Fiction,9
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,2009,Fiction,7
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,5396,2013,Fiction,20
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,2011,Non Fiction,13
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,2015,Non Fiction,11
The Litigators,John Grisham,4.4,6222,2011,Fiction,18
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,4506,2010,Fiction,14
The Lost Symbol,Dan Brown,4.2,8747,2009,Fiction,19
